customer_name,customer_id,city,city_type
"Vivaan Sharma",1,Ahmedabad,"non metro customer"
"Vihaan Patel",2,Mumbai,metro_customer
"Krishna Verma",3,Surat,"non metro customer"
"Aarav Sharma",4,Mumbai,metro_customer
"Vihaan Das",5,Surat,"non metro customer"
"Krishna Reddy",6,Jaipur,"non metro customer"
"Vihaan Nair",7,Surat,"non metro customer"
"Aarav Patel",8,Kolkata,"non metro customer"
"Arjun Patel",9,Hyderabad,"non metro customer"
"Reyansh Verma",10,Mumbai,metro_customer
"Vivaan Mehta",11,Pune,"non metro customer"
"Arjun Sharma",12,Chennai,"non metro customer"
"Vivaan Singh",13,Mumbai,metro_customer
"Arjun Bhat",14,Pune,"non metro customer"
"Vihaan Verma",15,Bangalore,"non metro customer"
"Vihaan Gupta",16,Mumbai,metro_customer
"Vihaan Verma",17,Kolkata,"non metro customer"
"Sai Mehta",18,Delhi,metro_customer
"Reyansh Reddy",19,Ahmedabad,"non metro customer"
"Vivaan Bhat",20,Delhi,metro_customer
"Vihaan Patel",21,Chennai,"non metro customer"
"Arjun Das",22,Hyderabad,"non metro customer"
"Reyansh Sharma",23,Hyderabad,"non metro customer"
"Aarav Mehta",24,Kolkata,"non metro customer"
"Vivaan Reddy",25,Surat,"non metro customer"
"Reyansh Reddy",26,Chennai,"non metro customer"
"Sai Patel",27,Ahmedabad,"non metro customer"
"Vihaan Das",28,Jaipur,"non metro customer"
"Ishaan Singh",29,Surat,"non metro customer"
"Reyansh Reddy",30,Delhi,metro_customer
"Sai Verma",31,Bangalore,"non metro customer"
"Vivaan Patel",32,Delhi,metro_customer
"Muhammad Bhat",33,Mumbai,metro_customer
"Muhammad Bhat",34,Chennai,"non metro customer"
"Arjun Das",35,Bangalore,"non metro customer"
"Vivaan Das",36,Ahmedabad,"non metro customer"
"Reyansh Verma",37,Ahmedabad,"non metro customer"
"Aditya Nair",38,Bangalore,"non metro customer"
"Arjun Das",39,Delhi,metro_customer
"Vivaan Gupta",40,Jaipur,"non metro customer"
"Vihaan Patel",41,Pune,"non metro customer"
"Aditya Das",42,Jaipur,"non metro customer"
"Ishaan Mehta",43,Chennai,"non metro customer"
"Vivaan Mehta",44,Ahmedabad,"non metro customer"
"Aarav Reddy",45,Surat,"non metro customer"
"Vivaan Nair",46,Mumbai,metro_customer
"Krishna Patel",47,Delhi,metro_customer
"Sai Das",48,Delhi,metro_customer
"Krishna Bhat",49,Kolkata,"non metro customer"
"Krishna Reddy",50,Ahmedabad,"non metro customer"
"Reyansh Nair",51,Jaipur,"non metro customer"
"Vivaan Reddy",52,Hyderabad,"non metro customer"
"Reyansh Sharma",53,Surat,"non metro customer"
"Vihaan Bhat",54,Hyderabad,"non metro customer"
"Vivaan Sharma",55,Hyderabad,"non metro customer"
"Aarav Mehta",56,Mumbai,metro_customer
"Vihaan Gupta",57,Chennai,"non metro customer"
"Krishna Patel",58,Surat,"non metro customer"
"Sai Reddy",59,Chennai,"non metro customer"
"Muhammad Reddy",60,Mumbai,metro_customer
"Muhammad Mehta",61,Kolkata,"non metro customer"
"Sai Sharma",62,Mumbai,metro_customer
"Muhammad Mehta",63,Mumbai,metro_customer
"Vihaan Reddy",64,Jaipur,"non metro customer"
"Aditya Singh",65,Delhi,metro_customer
"Sai Reddy",66,Mumbai,metro_customer
"Krishna Verma",67,Bangalore,"non metro customer"
"Krishna Sharma",68,Mumbai,metro_customer
"Vihaan Patel",69,Kolkata,"non metro customer"
"Sai Reddy",70,Kolkata,"non metro customer"
"Aditya Singh",71,Bangalore,"non metro customer"
"Arjun Nair",72,Ahmedabad,"non metro customer"
"Krishna Nair",73,Delhi,metro_customer
"Arjun Reddy",74,Bangalore,"non metro customer"
"Krishna Sharma",75,Pune,"non metro customer"
"Aarav Bhat",76,Chennai,"non metro customer"
"Krishna Patel",77,Bangalore,"non metro customer"
"Vivaan Patel",78,Mumbai,metro_customer
"Vivaan Reddy",79,Kolkata,"non metro customer"
"Ishaan Reddy",80,Surat,"non metro customer"
"Aarav Bhat",81,Mumbai,metro_customer
"Ishaan Bhat",82,Jaipur,"non metro customer"
"Arjun Reddy",83,Pune,"non metro customer"
"Arjun Singh",84,Delhi,metro_customer
"Arjun Nair",85,Pune,"non metro customer"
