customer_name,customer_id,total_spent
"Reyansh Patel",213,19783
"Vihaan Nair",7,19484
"Krishna Nair",191,18967
"Ishaan Sharma",336,18060
"Ishaan Singh",120,17965
"Vihaan Nair",428,17486
"Vivaan Bhat",20,16837
"Ishaan Gupta",119,16519
"Vihaan Singh",235,16458
"Vihaan Das",5,16392
"Aditya Verma",408,15825
"Vivaan Gupta",268,15662
"Krishna Sharma",75,15502
"Aditya Singh",109,15498
"Muhammad Das",439,15494
"Ishaan Verma",184,15379
"Vihaan Patel",138,15348
"Vivaan Bhat",180,15291
"Krishna Singh",489,15282
"Arjun Mehta",282,15233
"Vivaan Sharma",86,14768
"Sai Verma",302,14678
"Ishaan Gupta",130,14668
"Krishna Patel",47,14509
"Ishaan Reddy",323,14505
"Krishna Gupta",269,14422
"Aditya Verma",486,14362
"Muhammad Verma",496,14357
"Aarav Patel",8,14132
"Ishaan Patel",435,14026
"Reyansh Verma",37,13891
"Arjun Singh",453,13832
"Vihaan Patel",21,13683
"Sai Verma",364,13676
"Ishaan Bhat",82,13383
"Aarav Sharma",4,13377
"Ishaan Patel",455,13339
"Muhammad Patel",291,13089
"Aditya Sharma",325,13017
"Aditya Nair",146,12986
"Sai Reddy",332,12811
"Vihaan Das",28,12657
"Aarav Mehta",56,12637
"Arjun Das",22,12462
"Vivaan Patel",250,12423
"Reyansh Bhat",103,12355
"Ishaan Verma",87,12307
"Ishaan Nair",452,12287
"Vihaan Singh",115,12217
"Vihaan Reddy",114,12186
"Aditya Verma",135,12158
"Aditya Das",468,12025
"Sai Patel",189,11983
"Aditya Singh",329,11977
"Muhammad Verma",380,11942
"Reyansh Sharma",53,11916
"Aditya Reddy",155,11829
"Arjun Das",35,11783
"Arjun Sharma",289,11599
"Reyansh Bhat",243,11597
"Aditya Bhat",403,11511
"Muhammad Mehta",61,11389
"Ishaan Bhat",167,11329
"Aditya Gupta",458,11294
"Arjun Reddy",83,11251
"Muhammad Patel",454,11140
"Vihaan Patel",176,11138
"Krishna Sharma",252,11080
"Aditya Reddy",154,10805
"Vihaan Das",256,10800
"Arjun Gupta",499,10768
"Vivaan Mehta",400,10714
"Reyansh Reddy",337,10683
"Aditya Nair",494,10618
"Sai Das",349,10601
"Sai Mehta",272,10407
"Vivaan Verma",498,10380
"Sai Das",425,10280
"Vivaan Das",443,10159
"Arjun Bhat",374,10145
"Arjun Bhat",14,10131
"Sai Mehta",113,10119
"Sai Singh",361,10041
"Ishaan Das",422,10011
"Krishna Reddy",359,9950
"Arjun Nair",72,9942
"Vivaan Sharma",55,9860
"Aditya Nair",277,9764
"Sai Mehta",460,9748
"Aarav Bhat",217,9721
"Ishaan Reddy",141,9698
"Muhammad Singh",352,9574
"Vivaan Patel",316,9527
"Ishaan Reddy",80,9512
"Ishaan Mehta",147,9504
"Reyansh Mehta",410,9403
"Arjun Mehta",178,9402
"Vivaan Reddy",262,9353
"Krishna Bhat",429,9309
"Vivaan Reddy",244,9249
"Krishna Sharma",376,9238
"Vivaan Patel",229,9231
"Reyansh Reddy",26,9212
"Muhammad Reddy",142,9191
"Arjun Mehta",378,9171
"Aarav Mehta",481,9156
"Arjun Bhat",238,9107
"Aditya Verma",281,9096
"Muhammad Singh",129,9049
"Aarav Das",350,9038
"Vivaan Gupta",116,8987
"Sai Gupta",207,8984
"Muhammad Patel",104,8983
"Reyansh Gupta",430,8887
"Reyansh Verma",432,8841
"Arjun Singh",127,8840
"Arjun Das",258,8829
"Ishaan Sharma",242,8823
"Vihaan Nair",201,8809
"Vihaan Nair",139,8808
"Ishaan Mehta",136,8716
"Vihaan Gupta",163,8567
"Reyansh Verma",477,8549
"Sai Verma",426,8494
"Muhammad Singh",158,8454
"Reyansh Singh",249,8433
"Reyansh Nair",441,8373
"Krishna Reddy",50,8324
"Sai Gupta",97,8264
"Vihaan Gupta",234,8250
"Krishna Mehta",373,8231
"Vihaan Reddy",64,8189
"Krishna Bhat",49,8146
"Muhammad Patel",436,8142
"Ishaan Das",166,8103
"Reyansh Das",328,7982
"Vivaan Singh",122,7915
"Vihaan Gupta",150,7847
"Vivaan Reddy",25,7776
"Reyansh Patel",416,7722
"Muhammad Singh",161,7715
"Ishaan Mehta",475,7639
"Vihaan Sharma",463,7620
"Muhammad Patel",500,7491
"Vivaan Singh",402,7421
"Ishaan Gupta",192,7402
"Sai Singh",388,7330
"Muhammad Das",406,7277
"Ishaan Mehta",43,7219
"Arjun Mehta",311,7191
"Reyansh Patel",483,7145
"Aarav Mehta",185,7095
"Muhammad Reddy",60,7081
"Aditya Nair",149,7076
"Arjun Sharma",304,7005
"Muhammad Verma",469,6954
"Reyansh Nair",51,6942
"Sai Bhat",330,6933
"Aarav Bhat",305,6924
"Vihaan Verma",193,6873
"Arjun Patel",90,6844
"Arjun Mehta",370,6826
"Vivaan Reddy",52,6824
"Aarav Bhat",322,6823
"Ishaan Verma",179,6808
"Krishna Patel",266,6794
"Reyansh Verma",126,6762
"Reyansh Singh",356,6759
"Ishaan Reddy",338,6743
"Arjun Mehta",315,6697
"Muhammad Gupta",300,6683
"Aditya Das",102,6663
"Muhammad Patel",168,6645
"Muhammad Bhat",34,6632
