customer_id,customer_name,total_orders,reward_tier
1,"Vivaan Sharma",3,Bronze
2,"Vihaan Patel",2,Bronze
3,"Krishna Verma",5,Silver
4,"Aarav Sharma",4,Bronze
5,"Vihaan Das",6,Silver
6,"Krishna Reddy",2,Bronze
7,"Vihaan Nair",7,Silver
8,"Aarav Patel",3,Bronze
9,"Arjun Patel",1,Bronze
10,"Reyansh Verma",4,Bronze
11,"Vivaan Mehta",5,Silver
12,"Arjun Sharma",3,Bronze
13,"Vivaan Singh",1,Bronze
14,"Arjun Bhat",3,Bronze
15,"Vihaan Verma",1,Bronze
16,"Vihaan Gupta",4,Bronze
17,"Vihaan Verma",2,Bronze
18,"Sai Mehta",2,Bronze
19,"Reyansh Reddy",2,Bronze
20,"Vivaan Bhat",5,Silver
21,"Vihaan Patel",6,Silver
22,"Arjun Das",4,Bronze
23,"Reyansh Sharma",2,Bronze
24,"Aarav Mehta",4,Bronze
25,"Vivaan Reddy",2,Bronze
26,"Reyansh Reddy",6,Silver
27,"Sai Patel",2,Bronze
28,"Vihaan Das",9,Silver
29,"Ishaan Singh",2,Bronze
30,"Reyansh Reddy",3,Bronze
31,"Sai Verma",3,Bronze
32,"Vivaan Patel",1,Bronze
33,"Muhammad Bhat",1,Bronze
34,"Muhammad Bhat",3,Bronze
35,"Arjun Das",5,Silver
37,"Reyansh Verma",3,Bronze
38,"Aditya Nair",1,Bronze
39,"Arjun Das",2,Bronze
40,"Vivaan Gupta",1,Bronze
41,"Vihaan Patel",3,Bronze
42,"Aditya Das",1,Bronze
43,"Ishaan Mehta",3,Bronze
44,"Vivaan Mehta",2,Bronze
45,"Aarav Reddy",2,Bronze
46,"Vivaan Nair",3,Bronze
47,"Krishna Patel",5,Silver
49,"Krishna Bhat",6,Silver
50,"Krishna Reddy",5,Silver
51,"Reyansh Nair",3,Bronze
52,"Vivaan Reddy",3,Bronze
53,"Reyansh Sharma",4,Bronze
54,"Vihaan Bhat",2,Bronze
55,"Vivaan Sharma",4,Bronze
56,"Aarav Mehta",6,Silver
